;;;;;;
advice-exhaustion-2;;If you are trying to align turns, sometimes the smartest move is to not activate a generator at all.;如果想对齐轮次，有时最明智的做法是干脆不去激活发生器。;ターンを整列しようとしている場合、最も賢い動きは、発電機をまったくアクティブにしないことです。;턴을 조정하고 싶으시다면, 발전기를 작동시키지 않는 게 가장 좋은 방법일 수도 있습니다.;
advice-happenings;;$b$?$/b$-Levels offer options to duplicate, transform or improve your modules.;$b$？$/b$-关卡提供复制、转换或改进模块的机会。;$b$?$/b$-イベントでは、モジュールを複製、変換、または改善するオプションが用意されています。;$b$?$/b$-레벨은 모듈을 복제, 변형, 개선시킬 수 있는 선택지를 제공합니다.;
advice-middleclick;;When playing with keyboard and mouse, middle-clicking on a module will send it in and out of the backpack.;使用键盘鼠标游戏时，中键单击模块可将其快速移至背包。;キーボードとマウスでプレイすると、モジュールを中クリックすると、モジュールをバックパックに送り出したり取り出したりします。;키보드와 마우스로 플레이 시, 가운데 클릭을 통해 모듈을 배낭으로 바로 넣거나 꺼낼 수 있습니다.;
advice-rating;;If you receive a $gold$ rating, the duration for $gold$ in the next fight will be reduced by 2.;如果本关取得$gold$评分，则下一次战斗的$gold$评分将缩短2步。;$gold$の評価を受けた場合、次の戦闘での$gold$の評価の期間が2減少します。;$gold$ 등급을 획득했다면, 다음 전투에서 $gold$를 획득할 수 있는 기간이 2 감소합니다.;
advice-rating-2;;Not all battles can be completed in time for a $gold$ rating. In these cases, consider taking extra time to heal up and generate plasma and resources for future fights.;并非所有战斗都能快速结束以取得$gold$评分。这时不妨多花些时间治疗自己，并为之后的战斗产出等离子体及其他资源。;$gold$の報酬を得るためにすべての戦闘を時間内に完了することはできません。この場合、追加の時間をかけて回復し、将来の戦いのためにプラズマとリソースを生成することを検討してください。;모든 전투를 $gold$ 등급으로 마무리할 수 있는 건 아닙니다. 이럴 때는 향후 전투를 대비해, 시간을 추가로 사용해 체력을 치유하거나 플라즈마나 자원을 생성하는 것을 고려해보세요.;
advice-rerolling;;If no loot module does it for you, you can spend $plasma$ to reroll. This will not change the rarity of the loot.;如果没有心仪的战利品模块，可以花费$plasma$重新选择。重选不会改变战利品的稀有度等级。;戦利品モジュールがあなたにとって役に立たない場合、プラズマを使ってやり直すことができます。これは戦利品のレアリティを変更しません。;마음에 드는 전리품 모듈이 없다면, $plasma$를 지불해 새로고침을 할 수 있습니다. 전리품의 희귀도는 변경되지 않습니다.;
advice-rightclick;;When playing with keyboard and mouse, right-clicking on a module will send it to the other character's rack.;使用键盘鼠标游戏时，右键单击模块可将其快速移至另一角色的模架。;キーボードとマウスでプレイすると、モジュールを右クリックすると、他のキャラクターのラックに送信されます。;키보드와 마우스로 플레이 시, 오른쪽 클릭을 통해 모듈을 다른 캐릭터의 랙으로 보낼 수 있습니다.;
advice-salvage;;If you go Game Over, don't forget to salvage your best module for the next run.;如果游戏落败，别忘记保留你最爱的模块，以便下次游戏继承。;ゲームオーバーになった場合は、次のランに向けて最高のモジュールを回収することを忘れないでください。;게임 오버 시, 다음 모험을 위해 여러분이 지녔던 최고의 모듈들을 회수하는 걸 잊지 마세요.;
advice-storm;;If you can't manage to end a battle in time, a $storm$ is gathering and the battle will take a dangerous turn.;如果未能及时结束战斗，将生成$storm$，战况会发生危险的转折。;戦闘を間に合わせることができない場合、$storm$ が集まり、戦闘は危険な方向に向かいます。;시간 내에 전투를 끝내지 못한다면 $storm$이 몰려오게 되며, 전투는 위험한 방향으로 흘러갈 것입니다.;
advice-strategy;;Some battles can overwhelm you with spawned monsters or debilitating status effects. Carefully consider your target priorities.;一些战斗中出现的怪物数量或减益效果也许会令你应接不暇。请仔细考虑目标的优先级。;一部の戦闘では、生成されたモンスターや弱体化効果で圧倒される可能性があります。ターゲットの優先順位を慎重に考えてください。;일부 전투는 상대가 몬스터를 소환하거나 약화 효과로 인해 불리한 상태로 시작될 수도 있습니다. 목표 우선 순위를 신중하게 고려하세요.;
advice-timeline;;Additional modules to manipulate the timeline are very useful for reliable turn alignment and control.;可操控时间轴的附加模块在轮次的对齐和控制上非常有用。;タイムラインを操作するための追加モジュールは、信頼性の高いターンの整列と制御に非常に役立ちます。;타임라인을 조작할 수 있는 추가 모듈은 턴을 정렬하고 제어하는 데에 아주 유용하게 사용됩니다.;
back;;Back;返回;戻る;뒤로;
bug-actordead;;BUG: $NAME$ is dead.;错误：$NAME$已经死亡。;BUG: $NAME$ は死んでいます。;버그: $NAME$(은)는 죽었습니다.;
bug-noabilities;;BUG: $NAME$ has no abilities.;错误：$NAME$没有技能。;BUG: $NAME$ に能力がありません。;버그: $NAME$(은)는 능력이 없습니다.;
bug-noactor;;BUG: $TURN$ has no actor;错误：$TURN$没有角色出战。;BUG: $TURN$ にアクターがありません;BUG: $TURN$에 배우가 없습니다;
capacity-hold;;Holds up to <color=#FFFFFF>$b$$MAXCHARGE$$/b$</color> $energy$;最多可容纳<color=#FFFFFF>$b$$MAXCHARGE$$/b$</color>$energy$;最大<color=#FFFFFF>$b$$MAXCHARGE$$/b$</color> $energy$を保持します;<color=#FFFFFF>$b$$MAXCHARGE$$/b$</color> $energy$까지 수용 가능;
category;;Category;类别;カテゴリー;카테고리;
chapter;;Stage;关卡;レベル;스테이지;
chapter-1;;Stage I:;第1关：;レベル1;스테이지 I:;
chapter-2;;Stage II:;第2关：;レベル2;스테이지 II:;
chapter-3;;Stage III:;第3关：;レベル3;스테이지 III:;
chapter-4;;Stage IV:;第4关：;レベル4;스테이지 IV:;
chapter-5;;Finale:;最终关：;最終レベル;피날레:;
chatmessage-vote-ended;;Voting Ended;投票结束;投票終了;투표 종료;
chatmessage-vote-started;;Voting Started! To vote send;投票开始！投票发送;投票開始！投票するには、送信してください;투표가 시작됐습니다! 투표 보내기;
cheat-free-plasma;;$b$DEMO:$/b$$br$+1 Plasma;$b$试玩：$/b$$br$+1 等离子体;$b$DEMO:$/b$$br$+1プラズマ;$b$데모:$/b$$br$+1 플라즈마;
cheat-incentive;;Press F1 to toggle$br$cheat mode;按F1开启$br$作弊模式;F1を押してチートモードを切り替える;F1을 눌러$br$치트 모드로 전환하세요;
cheat-win-battle;;$b$DEMO:$/b$$br$Win Battle;$b$试玩：$/b$$br$胜利;$b$DEMO:$/b$$br$戦闘勝利;$b$데모:$/b$$br$전투 승리;
continue;;Continue;继续;続行;계속하기;
continue-to-unlocks;;Continue to Unlocks;继续以解锁;アンロックに進む;계속해서 해금하기;
cycle1-description;;Chapter I:;第一章：;チャプター1;챕터 I:;
cycle1-story;;It's grain festival.$br$Nana Slopper was about to put a gravioactive turkey in the oven when the plasma meter hit zero.$br$Someone should go and investigate what caused the ruckus this time.;今天是谷物节。$br$斯洛普奶奶正要将引力火鸡塞进烤箱中，却发现等离子仪归零了。$br$该派人去查一查到底怎么回事。;穀物まつりです。$br$おばあちゃんスロッパーは、プラズマメーターがゼロになったとき、重力で活動する七面鳥をオーブンに入れようとしていました.$br$誰かがこの騒ぎの原因を調べに行かなければなりません。;곡물 잔치 기간입니다.$br$나나 슬로퍼가 중력 활성 칠면조를 오븐에 넣으려고 하기 직전에, 플라즈마 미터가 0을 기록했습니다.$br$이번 소동이 발생한 원인을 누군가 가서 조사해야만 합니다.;
cycle1-title;;Blackout;断电;ブラックアウト;암전;
cycle2-description;;Chapter II:;第二章：;チャプター2;챕터 II:;
cycle2-story;;“The gyrograph is all over the place. And look at my breakfast! These eggs have unscrambled themselves!$br$If we don’t understand what’s causing the time distortions we risk getting … unscrambled … too.”;“到处都是漩涡。看看我的早餐！这些鸡蛋全都乱码了！$br$如果不尽快搞清楚造成时间扭曲的原因，我们很有可能……也会……变成乱码。”;“ジャイログラフは完全に狂っています。そして私の朝食を見てください！これらの卵は自分で解きほぐされました！$br$時間の歪みを引き起こしているものがわからなければ、私たちは……自分で解きほぐされる……危険があります。”;"""자이로그래프가 사방에 널려있어요. 그리고 제 아침 좀 봐요! 계란들이 멋대로 원래대로 돌아가고 있잖아요!$br$시간 왜곡의 원인을 정확히 파악하지 못하면 어쩌면 우리도...원래대로...돌아가버릴 거에요.""";
cycle2-title;;Scrambled Logic;时空干扰;混乱したロジック;뒤죽박죽 논리;
cycle3-description;;Chapter III:;第三章：;チャプター3;챕터 III:;
cycle3-story;;“For a long time there were rumours of people stealing our time. Nobody listened back then, and now look at everything! You must have lost people too. I can't rest until I've found those responsible.”;“很长一段时间都有传言说，有人偷走了我们的时间。没人相信这种鬼话，但现在看看这一切！你一定也失去过至亲至爱。不找到凶手我决不罢休！”;“長い間、私たちの時間を盗む人々の噂がありました。当時誰も聞いてくれませんでしたが、今はすべてを見てください！あなたもきっと人を失ったでしょう。私は責任者を見つけるまで安心できません。”;"""아주 오랜 시간 동안, 우리의 시간을 훔쳐가는 사람들에 관한 수많은 소문이 있었죠. 그땐 아무도 주의 깊게 듣지 않았지만, 이 꼴 좀 보세요! 당신도 누군가를 잃었나보군요. 관련된 자들을 찾기 전까진 쉴 수 없을 것 같습니다.""";
cycle3-title;;A Waste of Time;浪费时间;時間の無駄遣い;시간 낭비;
cycle4-description;;Chapter IV:;第四章：;チャプター4;챕터 IV:;
cycle4-story;;“The first years of gravitonics research were terribly uneventful. We spent years calculating the potential of time dilation to prolong human life. The theory was sound, but there was a risk of catastrophic time spillage onto the environment.”$br$– “What happened then?”$br$“The project went dark and everybody got kicked off.”;“引力研究之初一切风平浪静。我们花了数年时间计算通过时间膨胀来延长人类寿命的可能性。理论上是可行的，但伴随的风险，时间溢出对环境的影响，也是灾难性的。”$br$–“后来呢？”$br$“项目中断，所有人被踢了出来。”;“重力学研究の最初の数年間は非常に退屈でした。私たちは数年間、時間の膨張が人間の寿命を延ばす可能性を計算しました。理論は確かでしたが、環境に対する時間の大量流出のリスクがありました。”$br$– “その後どうなりましたか？”$br$“プロジェクトは突然停止し、誰もが追い出されました。”;"""처음 중력학 연구를 시작한 해에는 딱히 별다른 일이 없었어. 인간의 생명을 연장시킬 시간 팽창의 가능성을 계산하는 데에 몇 년을 소비했지. 이론은 논리적으로 타당했지만, 주변에 대규모 시간 유출이 발생할 위험성이 있었어.""$br$–""그리고 무슨 일이 일어났죠?""$br$""프로젝트는 중단됐고 모든 사람들이 쫓겨났지.""";
cycle4-title;;Ebb and Flow;潮起潮落;満ち潮と引き潮;밀물과 썰물;
cycle5-description;;Chapter V:;第五章：;チャプター5;챕터 V:;
cycle5-story;;“The nature of a fold is that of a doubling and a crease.”$br$– “Have we met before?”$br$“There is no such thing as before. Nor after. We are meeting now. We will always be meeting now. And I will always be telling you to stay away from that place. This is the crease. And tomorrow you will be on your way.”;“折叠的本质，是重合加折痕。”$br$“我们以前见过吗？”$br$“不存在所谓的‘以前’。同理没有以后。我们只在此刻相遇。我们永远会在此刻相遇。每一次我都会告诉你不要去那个地方。这就是折痕。而明天你会再次踏上你的征途。”;“折り目の性質は、二重と折り目です。”$br$– “私たちは以前会ったことがありますか？”$br$“以前というものはありません。また、後にもありません。私たちは今会っています。私たちはいつも今会っています。そして私はいつもあなたにその場所から離れるように言います。これが折り目です。明日、あなたは途中にいるでしょう。”;"""접는 행위의 본질은, 두 배가 되고 주름이 생긴다는 것입니다.""$br$–""우리 전에 만난 적 있나요?""$br$""전 같은 건 존재하지 않습니다. 이후도 없죠. 우린 지금 만나고 있는 겁니다. 우린 항상 지금 만나게 될 겁니다. 그리고 난 항상 당신에게 그곳에서 멀리 떨어져 있으라고 말하겠죠. 이게 주름이에요. 내일이면 당신은 제 갈 길을 떠날겁니다.""";
cycle5-title;;Unfolding;展开;展開;펼치기;
cycle6-description;;Chapter VI:;第六章：;チャプター6;챕터 VI:;
cycle6-story;;“If you're hearing this message, it means that things have gone terribly wrong.”$br$– “It’s Grandpa Slopper’s voice!”$br$“They’re building a floating city, around which they're constructing a dam to halt the flow of time. They called it Eden. They weren’t very creative.$br$I have to hide the last axiom of gravitonics with the person least likely to become involved.”;“如果你收到这条消息，就意味着形势已经相当危急了。”$br$“是斯洛普爷爷的声音！”$br$“它们正在建造一座浮空的城市，并在其周围修建了一圈大坝来阻止时间的流动。他们称之为伊甸园。很没有新意的名字。$br$我必须把引力学的最后一条公理藏到最不可能卷入其中的人身上。”;“もしこのメッセージを聞いているなら、事態がひどく悪化していることを意味します。”$br$– “それはスロッパーおじいちゃんの声です！”$br$“彼らは時間の流れを止めるために浮遊都市を建設しています。彼らはそれをエデンと呼んでいます。彼らはあまり創造的ではありませんでした。$br$私は重力学の最後の公理を最も関与しない人に隠さなければなりません。”;"""만약 이 메시지를 듣고 있다면, 상황이 굉장히 좋지 않게 돌아가고 있다는 뜻이겠구만.""$br$– ""슬로퍼 할아버지 목소리야!""$br$""그 자들이 공중 도시를 건설하고, 시간의 흐름을 막기 위해 댐을 만들었어. 에덴이라고 부르더군. 창의력하고는.$br$나는 연관될 가능성이 가장 적은 사람에게, 중력학의 마지막 원리를 남겨야 한다.""";
cycle6-title;;A City in the Skies;浮空之城;空の都市;하늘 위의 도시;
cycle7-description;;Chapter VII:;第七章：;チャプター7;챕터 VII:;
cycle7-story;;"“Sorry to interrupt your holo-stream, Jessy, but we believe the key to saving the world might be stored somewhere in your mind.”$br$– ""Yeah … no.”$br$“Jess! What’s the last thing Grandpa said to you?”$br$– “Dunno … something about roses and violets and the temporal mass being inversely proportional to the gravitonic energy squared.”";“抱歉打扰了你的全息直播，杰西，但我们有理由相信拯救世界的关键，就藏在你脑海中的某处。”$br$– “呃……并没有。”$br$“杰西！想想爷爷最后跟你说了什么？”$br$– “我不确……什么玫瑰和紫罗兰，还有时间质量和引力能量的平方成反比什么的。”;“ホロ・ストリームを中断してすみません、ジェシー、でも私たちは世界を救う鍵があなたの頭のどこかに保存されているかもしれないと信じています。”$br$– “うん……違う。”$br$“ジェシー！おじいちゃんが最後にあなたに言ったことは何ですか？”$br$– “わからない……バラとスミレについて、時間質量が重力エネルギーの二乗に反比例することについて。”;"""홀로스트림을 방해해서 미안하지만, 제시, 우린 세상을 구할 열쇠가 너의 머릿속에 있다고 믿는다.""$br$–""어...아뇨.""$br$""제스! 할아버지가 마지막으로 너한테 남기신 말이 뭐지?""$br$–""몰라요...그냥 장미랑 제비꽃에 관한 얘기랑 시간 질량은 중력 에너지 제곱에 반비례한다고 하셨어요.""";
cycle7-title;;Violets are Blue;蓝色的紫罗兰;スミレは青い;제비꽃은 푸르다;
cycle8-description;;Final Chapter:;终章：;最終章:;마지막 챕터:;
cycle8-story;;“They know exactly about the damage they are causing. But in their greed, they want to revel in an infinite day.$br$ The time dam is powered by a single source of power: the grav reactor.”$br$– “How do you know all this?”$br$“Because I am from there.”;“他们对自己造成的破坏一清二楚。但因为贪婪，他们仍然想纵情享受无限的一天。$br$时间大坝的能量来源只有一个：引力反应堆。”$br$– “你怎么知道的？”$br$“因为我就来自那里。”;“彼らは自分たちが引き起こしている損害について正確に知っています。しかし、彼らの欲望の中で、彼らは無限の日に浸りたいと思っています。$br$時間ダムは単一のエネルギー源で駆動されています: 重力反応炉。”$br$– “あなたはこれらすべてをどうやって知っているのですか？”$br$“なぜなら私はそこから来ているからです。”;"""그 자식들은 자기들이 무슨 피해를 끼치고 있는지 정확히 알고 있어. 하지만 탐욕스럽게 무한한 매일을 지내고 싶어하는 거지.$br$시간 댐의 동력원은 딱 하나야: 중력 원자로.""$br$–""그걸 어떻게 다 알고 계시는 거죠?""$br$""내가 거기에서 왔거든.""";
cycle8-title;;The Walled Garden;围墙内的伊甸园;囲まれた庭;벽 안의 정원;
description-boss-crab;;;;;;
description-boss-crab-leftclaw;;;;;;
description-boss-crab-rightclaw;;;;;;
description-boss-crocodile;;;;;;
description-boss-shroom;;“This one must be the source of the smaller mushrooms we see around here. They must be communicating via a subterranean rhizome. Chop this one down, would you?”;“这里一定就是那些小型蘑菇的发源地。它们一定是通过地下根茎进行交流的。把它砍下来，可以吗？”;“これは、ここにある小さなキノコの元になるはずです。おそらく地下の根茎を通じてコミュニケーションを取っているのでしょう。これを切り倒してくれませんか？”;"""이 버섯이 이 주변에 보이는 더 작은 버섯들의 원천일 거야. 땅속에 뻗은 줄기를 이용해서 소통하고 있겠지. 이걸 잘라내주겠어?""";
description-campstructure-campfire;;The foundation of every camp;每个营地的基础;キャンプの基礎;모든 야영지의 기초;
description-campstructure-gradarbeacon;;Our only means to contact other survivors;我们联系其他幸存者的唯一途径;他の生存者との唯一の方法;다른 생존자들과 접촉할 유일한 수단;
description-campstructure-hangar;;Grandpa Slopper used to tinker on his Grav.-Bots in here;斯洛普爷爷以前就在这里摆弄他的引力机器人;ここはスロッパおじいちゃんが重力ロボットを修理していた場所です;슬로퍼 할아버지는 여기에서 중력봇을 수리하고는 했습니다;
description-campstructure-powerplant;;A sustainable source of energy for our camp;我们营地的可持续能量源;キャンプの持続可能なエネルギー源;야영지를 위한 지속 가능한 에너지원;
description-campstructure-scrapyard;;Here the residents store everything useful they come across on their forays;幸存者们把冒险中得到的一切有用物资都存放在这里;ここでは、居住者が探検で見つけたすべての有用なものを保管しています;여기 주민들은 약탈 도중에 찾아낸 모든 유용한 것들을 보관합니다;
description-difficulty-0;;You are still learning about the mechanics of Rogue Voltage.;你对《能量游侠》的机制仍在学习摸索中。;あなたはまだRogue Voltageのメカニクスについて学んでいます。;아직 로그 볼티지의 메커니즘을 배우는 중입니다.;
description-difficulty-1;;A balanced challenge for those familiar with the core principles.;对于熟悉核心机制的玩家而言，难度适中。;コア原則に精通しているプレイヤーにとって、バランスの取れた挑戦です。;핵심적인 법칙을 깨달은 사람들을 위한 균형잡힌 난이도입니다.;
description-difficulty-2;;A tough engineering puzzle with very little room for misplays.;一道道精密难题，容错率几乎为零。;ミスプレイの余地がほとんどない、難しいエンジニアリングパズル。;아주 약간의 실수로도 위험해질 수 있는 어려운 엔지니어링 퍼즐입니다.;
description-difficulty-3;;Even the developer struggles$br$to beat this mode.;即使是开发者$br$也很难取胜。;開発者でさえこのモードを打ち負かすのに苦労しています。;이 모드를 클리어하는 건$br$개발자에게도 어려운 일입니다.;
description-enemy-chronocatnegative;;;;;;
description-enemy-chronocatpositive;;“It might look much like a typical house cat, but that's where the similarities end. That and they might scratch you. And the unreliable temperament.”;“外观很像普通的家猫，但和家猫的相似之处也仅此而已。再加一条，都会抓伤你。以及，更加暴躁的脾气。”;“それは一般的な家猫に似ているかもしれませんが、それが共通点の終わりです。それと、あなたを引っ掻くかもしれません。そして、信頼性のない性格です。”;"""집에서 키우는 평범한 고양이처럼 보일 수도 있지만, 비슷한 점은 그게 끝입니다. 여러분을 할퀼 수도 있다는 점도 있긴 하네요. 성질이 아주 고약하다는 거랑.""";
description-enemy-crow;;“You hear that caw-cawing noise? The crows are very curious about humans, which is fine enough. It’s when they start to form up into a swarm, that’ s when you need to worry.”;“听到咔咔的叫声了吗？那些乌鸦对人类很好奇，这没什么。但当它们开始聚集时，你就得小心了。”;“あのカーカーという鳴き声が聞こえますか？カラスは人間に興味津々で、それは悪いことではありません。しかし、彼らが群れを作り始めると、そこで心配する必要があります。”;"""저 까악 거리는 소리 들리시나요? 까마귀는 인간을 굉장히 궁금해하는데, 그것까진 괜찮습니다. 여러분이 걱정해야 할 건 까마귀가 무리를 짓기 시작하는 순간이죠.""";
description-enemy-crustyant;;“These ones scrape along the ground all around here. Don’t let them get near you or they’ll gum up your modules. Stuff’s an ordeal and a half to clean off.”;“它们会贴着地表四处徘徊。别让它们靠近，否则会黏住你的模块。这些东西清理起来很麻烦。”;;"""사방팔방을 돌아다니며 모든 걸 갉아대는 놈들입니다. 모듈을 고장내는 꼴을 보고 싶지 않으시다면 얼씬도 못하게 쫓아내세요. 물질은 정리해야 할 시련일 뿐입니다.""";
description-enemy-firegnat;;;;;;
description-enemy-fox;;“These meanies know how to sneak up behind and ambush you. When they land a hit, I swear you can hear them chuckle.”;“这些卑鄙的东西擅长绕后伏击。一旦得逞，你定能听到它们的奸笑声。”;;"""이 교활한 놈들은 뒤로 몰래 숨어 들어 습격하는 법을 알고 있습니다. 일단 한번 공격을 받고 나면, 녀석들이 비웃는 소리가 분명 들릴 겁니다.";
description-enemy-frog;;“Grandpa Slopper used to love throwing those on the barbecue. Ever since the Gravistrophe, they’ve been trying to do the same to him.”;“斯洛普爷爷以前总喜欢把它们扔到烧烤架上。引力扭转之后，它们就一直想让他也体验同样的滋味。”;;"""슬로퍼 할아버지는 이 녀석들을 바베큐 그릴 위에 곧잘 던지곤 하셨죠. 중력 재앙 이후로는, 그 녀석들도 할아버지를 바베큐로 만들기 위해 노력 중이랍니다.""";
description-enemy-gravanemone;;;;;;
description-enemy-gravcobra;;“A dangerous and mesmerizing creature. Best thing is, you can always tell when they’re mad at you by the posture. Trouble is, they’re always mad.”;“一种危险又迷人的生物。好消息是，你可以通过它们的姿势判断出它们是否愤怒。但坏消息是，它们总是很愤怒。”;;"""위험하면서도 신비로운 생명체입니다. 자세를 보고 화가 난 건지 분간할 수 있다는 점이 편리하죠. 항상 화가 나있다는 게 문제긴 하지만요.""";
description-enemy-gravgnat;;;;;;
description-enemy-gravpolyp;;;;;;
description-enemy-mushroomblue;;“A toadstool the size of a human! I didn’t believe it when I heard. With their spores they seem able to dilate time. Wonder how they got to be that way.”;“一人高的毒蕈！我以前听说的时候还不信呢。它们的孢子似乎可以膨胀时间。真不知道它们是怎么变成这样的。”;;"""사람만한 독버섯이 있다니까! 처음 들었을 때는 믿지 않았어요. 포자로 시간을 팽창시킬 수 있는 것 같던데 원리를 도무지 모르겠네요.""";
description-enemy-mushroomred;;;;;;
description-enemy-mushroomyellow;;;;;;
description-enemy-protozoon;;;;;;
description-enemy-slime;;;;;;
description-enemy-turretbomb;;;;;;
description-enemy-wardcrust;;;;;;
description-enemy-wardgrav;;“In the early days of gravitonics, people would use those to power their homes. They tended to discharge when they weren’t properly grounded. These ones do not look grounded.”;“引力技术早期，会被用来进行家庭供电。如果没有被正确接地，它们往往会放电。而这些看起来，似乎就没接地。”;“初期の重力技術では、人々はこれらを使用して家を電源にしていました。適切に接地されていないと放電する傾向がありました。これらは接地されていないように見えます。”;"""중력학 초창기에, 사람들이 집에 동력을 공급하기 위해 주로 이용했던 시설입니다. 제대로 접지되어 있지 않으면 방전되어버리는 편이었죠. 이것도 제대로 접지가 된 것 같진 않네요.""";
description-enemy-wardplasma;;“In the early days of gravitonics, people would use those to power their homes. They tended to discharge when they weren’t properly grounded. These ones do not look grounded.”;“引力技术早期，会被用来进行家庭供电。如果没有被正确接地，它们往往会放电。而这些看起来，似乎就没接地。”;“初期の重力技術では、人々はこれらを使用して家を電源にしていました。適切に接地されていないと放電する傾向がありました。これらは接地されていないように見えます。”;"""중력학 초창기에, 사람들이 집에 동력을 공급하기 위해 주로 이용했던 시설입니다. 제대로 접지되어 있지 않으면 방전되어버리는 편이었죠. 이것도 제대로 접지가 된 것 같진 않네요.""";
description-module-accumulator;;Can be charged or discharged.;可充放能量。;充電または放電可能。;충전하거나 방전시킬 수 있습니다.;
description-module-amplifier;;Adds $b$$MODIFICATIONVALUE$$/b$ $energy$ to the current.;为能量流增加$b$$MODIFICATIONVALUE$$/b$$energy$。;電流に $b$$MODIFICATIONVALUE$$/b$ $energy$ を追加します。;전류에 $b$$MODIFICATIONVALUE$$/b$ $energy$를 추가합니다.;
description-module-collectoraccumulation;;Generates $b$$SENSORVALUE$$/b$ $energy$ whenever a $storagemodule$ is charged.;任意$storagemodule$被充能时，产出$b$$SENSORVALUE$$/b$$energy$。;$storagemodule$が充電されるとき $b$$SENSORVALUE$$/b$ $energy$を生成します。;$storagemodule$이 충전될 때마다 $b$$SENSORVALUE$$/b$ $energy$를 생산합니다.;
description-module-collectorchrono;;Generates $b$$SENSORVALUE$$/b$ $energy$ whenever the turn order is changed.;轮次发生改变时，产出$b$$SENSORVALUE$$/b$$energy$。;ターン順が変更されるとき $b$$SENSORVALUE$$/b$ $energy$を生成します。;턴 순서가 변경될 때마다 $b$$SENSORVALUE$$/b$ $energy$를 생산합니다.;
description-module-collectorfracture;;Generates $b$$SENSORVALUE$$/b$ $energy$ whenever another module is destroyed.;任意模块被销毁时，产出$b$$SENSORVALUE$$/b$$energy$。;別のモジュールが破壊されると $b$$SENSORVALUE$$/b$ $energy$を生成します。;다른 모듈이 파괴될 때마다 $b$$SENSORVALUE$$/b$ $energy$를 생산합니다.;
